index	isL5IT
SM-DAIG7_S84	0
SM-D9D8H_S26	0
SM-D9E66_S19	0
SM-DD43L_S48	1
SM-DAIFC_S28	0
SM-DAIG7_S46	1
SM-D9EQM_S45	1
SM-DAIGV_S32	0
SM-D9D7W_S48	0
SM-D9E5X_S45	0
SM-DAIGL_S11	1
SM-D9D8H_S47	0
SM-D9D87_S12	0
SM-D9D8I_S54	0
SM-D9D8K_S06	0
SM-DAIFH_S08	1
SM-DAIHC_S45	1
SM-DAIFI_S15	1
LS-15501_S26	0
SM-DAIG4_S13	1
SM-D9E5Q_S08	1
SM-DAIG4_S46	0
LS-15520_S16	1
SM-D9E5W_S11	1
SM-DAIFC_S64	0
LS-15533_S15	0
SM-D9D8H_S08	0
SM-GE666_S079	0
SM-DAIG5_S44	0
SM-GE668_S003	0
SM-DAIFB_S18	0
SM-DAIG8_S66	0
SM-D9EQT_S60	1
SM-DAIGP_S03	0
SM-DAIH5_S51	0
SM-DD43N_S13	1
LS-15520_S35	1
SM-DAIG9_S64	0
SM-D9E5T_S69	0
SM-DAIH5_S06	1
SM-DAIGX_S08	0
SM-DAIGR_S12	0
SM-DAIGW_S09	0
SM-D9D8G_S08	0
SM-DAIG4_S40	0
SM-D9E5R_S49	0
SM-DAIFI_S66	0
LS-15526_S93	1
SM-DD43N_S12	1
SM-DAIGW_S17	0
LS-15520_S50	1
LS-15524_S16	1
SM-D9EQM_S66	0
SM-GE63K_S074	0
SM-D9D7V_S36	0
SM-DAIG7_S72	1
SM-D9D85_S29	0
SM-DAIGV_S04	1
SM-DAIG4_S87	0
SM-D9D7X_S42	0
SM-DAIHC_S61	1
SM-D9E5T_S73	1
SM-DAIG4_S38	0
LS-15526_S85	1
SM-D9E5E_S27	0
LS-15521_S01	1
SM-D9E5T_S70	0
LS-15520_S46	1
LS-15520_S08	1
SM-GE66H_S168	0
SM-D9D8O_S18	0
SM-DAIG5_S48	0
SM-DAIHG_S76	0
SM-DD44N_S56	1
SM-D9E5E_S40	0
SM-DAIG6_S49	0
LS-15526_S70	1
SM-D9D87_S09	0
SM-GE8ZO_S062	0
SM-D9E5T_S74	1
SM-DAIGV_S46	0
SM-DD44Q_S66	0
SM-D9EQS_S90	0
SM-D9D8C_S81	0
SM-DAIFA_S36	1
SM-DAIGJ_S13	0
SM-DAIG8_S31	0
